"","user_id","created_at","screen_name","text","source","favorite_count","retweet_count","...1","...2","...3","...4","...5","...6","...7","...8","...9","...10","...11","...12","...13","...14","...15","...16","...17","...18","...19","...20","...21","...22","...23","...24","...25","...26","...27","...28","...29","...30","...31","lang","location","account_created_at","followers_count"
"1","63216199",2020-06-10 19:20:31,"GJEP123","LISTEN to this week's Earth Minute on the link between #Racism, skyrocketing #COVID cases and devastation of the #Amazon: https://t.co/HgUoklsxzP https://t.co/Zrg04z8E6T","Twitter Web App",0,0,"Racism","COVID","Amazon",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"en","Buffalo, NY ",2009-08-05 18:40:59,4953
"2","101174963",2020-06-10 19:20:27,"Hashaamt19","Kon log hain yeh, kahan say aatay hain yeh log #COVID19Pakistan #Covid #ImranKhanDestroyingPakistan https://t.co/4O6prN0fMv","Twitter for iPhone",0,0,"COVID19Pakistan","Covid","ImranKhanDestroyingPakistan",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"tl","",2010-01-02 08:32:14,158
"3","349012509",2020-06-10 19:20:26,"explorantKameSJ","Agreed. 💯💯💯

#CovidFreeNZ #COVID #COVIDー19 https://t.co/13Fzz9myw7","Twitter for Android",0,0,"CovidFreeNZ","COVID","COVIDー19",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"en","Insta: explorantkamesj",2011-08-05 11:38:18,1369
"4","712757740238667777",2020-06-10 19:20:22,"GwenInvestor","#Covid learning loss: bigger for younger kids ☹️  If we are friends and you are stretched, happy to tutor your kids 🤓 https://t.co/AO6L5AayXU","Twitter for iPhone",0,0,"Covid",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"en","San Francisco Bay Area",2016-03-23 21:47:42,878
"5","23080591",2020-06-10 19:20:15,"PTtraveljobs","Can you relate? #COVID-19 has taken a large toll on our #healthcareworkers. How are you holding up?

#stress #burnout #alliedhealthcare #alliedhealth

https://t.co/bOv56DVm6j https://t.co/Wa9ptoOtlT","Hootsuite Inc.",0,0,"COVID","healthcareworkers","stress","burnout","alliedhealthcare","alliedhealth",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"en","Lancaster, PA",2009-03-06 16:04:33,4205
"6","579624080",2020-06-10 19:20:14,"RadioInfluence","Today on The #Cannabis #Podcast, @IanBeckles discusses how the #CBD industry is flourishing in the era of #COVID-19 and shares a crazy story that involves smuggling marijuana into the country and submarines. Yes.....submarines. Listen now!

🔈 https://t.co/QdQVZ4JbqM 🔈 https://t.co/Cun150uuZB","Hootsuite Inc.",0,0,"Cannabis","Podcast","CBD","COVID",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"en","Tampa, FL",2012-05-14 06:53:30,22363
"7","2669939557",2020-06-10 19:20:13,"iris_xyz","How Senior Tech Habits Evolved During COVID-19 https://t.co/YQjgX5nwY7 @Carebuzz #tech #habits #COVID #aging","Hootsuite Inc.",0,0,"tech","habits","COVID","aging",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"en","Las Vegas, NV",2014-07-22 16:41:06,19098
"8","2669939557",2020-06-10 15:01:59,"iris_xyz","Will Consolidation Follow the Current Economic Weakness?  https://t.co/TMAV9x8VLp @IndexIQETFs  #economy #consolidation #investors #market #COVID","Hootsuite Inc.",0,0,"economy","consolidation","investors","market","COVID",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"en","Las Vegas, NV",2014-07-22 16:41:06,19098
"9","972897760876916737",2020-06-10 19:20:06,"svenskkubanska","Vita Husets anti-kubanska propaganda får mothugg https://t.co/5or0Wfp6Vc #Kuba #covid #propaganda #läkare #framgångar","Twitter Web App",0,0,"Kuba","covid","propaganda","läkare","framgångar",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"sv","Sverige",2018-03-11 18:11:16,197
"10","1231952945748549633",2020-06-10 19:20:06,"LionessPulse","Please take the poll below. It's interesting and they need a wide open sample.  #COVID #COVID19 #Vote 👇👇👇👇👇👇👇👇👇👇 https://t.co/6Z9oAYlLUv","Twitter for Android",0,0,"COVID","COVID19","Vote",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"en","United States",2020-02-24 14:44:15,898
