"","user_id","created_at","screen_name","text","source","favorite_count","retweet_count","...1","...2","...3","...4","...5","lang","location","account_created_at","followers_count"
"1","46335511",2020-06-10 17:26:33,"Trevornoah","'Bad Boys 3' sliding home safe w/ all the other shows that avoided the copaganda discussions that are about to heat up. https://t.co/APSu8wEsMF","Twitter for iPhone",0,1101,NA,NA,NA,NA,NA,"en","New York, NY",2009-06-11 07:03:48,10717603
"2","46335511",2020-06-09 22:25:50,"Trevornoah","If you have to train people not to kill me because I’m Black, I’d really prefer you just not give them the power to kill me at all maybe?","Twitter for iPhone",0,31758,NA,NA,NA,NA,NA,"en","New York, NY",2009-06-11 07:03:48,10717603
"3","46335511",2020-06-09 13:25:53,"Trevornoah","How are cops responding to protests against police brutality? With more police brutality. https://t.co/6Nxj9w9Okr","Twitter Web App",0,8151,NA,NA,NA,NA,NA,"en","New York, NY",2009-06-11 07:03:48,10717603
"4","46335511",2020-06-08 17:47:11,"Trevornoah","1. As we see multiracial crowds fighting for police reform, I keep thinking of how so many white liberals react when policymakers attempt to integrate their children's schools and gifted classrooms, or construct affordable housing in affluent neighborhoods.","Twitter for iPhone",0,4540,NA,NA,NA,NA,NA,"en","New York, NY",2009-06-11 07:03:48,10717603
"5","46335511",2020-06-08 00:20:38,"Trevornoah","George Carlin - 1999. 

“I'm gettin' a little tired of hearing that after 6 policemen get arrested for shoving a floor lamp up some black guy's ass, and ripping his intestines out, the police department announces they're gonna have 'sensitivity training'.""
https://t.co/37SkSoOkAu","Twitter for iPhone",0,20606,NA,NA,NA,NA,NA,"en","New York, NY",2009-06-11 07:03:48,10717603
"6","46335511",2020-06-08 00:19:47,"Trevornoah","Breaking News: A veto-proof majority of the Minneapolis City Council pledged to dismantle the city’s Police Department, vowing to create a new public safety system https://t.co/mYBqMpwG0g https://t.co/zYHBH59dU0","Twitter for iPhone",0,22155,NA,NA,NA,NA,NA,"en","New York, NY",2009-06-11 07:03:48,10717603
"7","46335511",2020-06-08 00:19:02,"Trevornoah","@MatthewACherry @kimlatricejones @Claribel_Ortega @TheDailyShow Definitely @kimlatricejones I’d love to have you as my guest.","Twitter for iPhone",4560,147,NA,NA,NA,NA,NA,"en","New York, NY",2009-06-11 07:03:48,10717603
"8","46335511",2020-06-07 20:44:14,"Trevornoah","Stop saying you’re colorblind or you “don’t see color.” If the only way you can acknowledge someone’s humanity is to pretend their culture and history doesn’t exist, you need to examine yourself.

Plus, I love being black. 

This shit’s dope AF when the cops aren’t around.","Twitter for iPhone",0,8555,NA,NA,NA,NA,NA,"en","New York, NY",2009-06-11 07:03:48,10717603
"9","46335511",2020-06-07 06:19:53,"Trevornoah","Defunding the police sounds radical until you realize realize we’ve been defunding education for years.","Twitter for iPhone",0,213613,NA,NA,NA,NA,NA,"en","New York, NY",2009-06-11 07:03:48,10717603
"10","46335511",2020-06-06 22:13:27,"Trevornoah","Are they applauding their colleagues for assaulting a 75 year old man, or are they applauding themselves for walking over him as he bled from his head? So much to applaud about all round. https://t.co/P7DMt47NRl","Twitter for iPhone",0,37055,NA,NA,NA,NA,NA,"en","New York, NY",2009-06-11 07:03:48,10717603
"11","46335511",2020-06-06 22:12:10,"Trevornoah","This photo just about sums it up https://t.co/Mx6tULlUUv","Twitter for iPhone",0,4992,NA,NA,NA,NA,NA,"en","New York, NY",2009-06-11 07:03:48,10717603
"12","46335511",2020-06-06 21:58:01,"Trevornoah","You folks always seem to forget that the full proverb is “one bad apple SPOILS THE WHOLE BARREL” this is because rotten apples produce huge amounts of ethylene which cause ALL THE OTHER APPLES TO ALSO BECOME ROTTEN the metaphor IS NOT ABOUT ISOLATED ROT its about COLLECTIVE ROT https://t.co/HTsFriYRw3","Twitter for iPhone",0,36126,NA,NA,NA,NA,NA,"en","New York, NY",2009-06-11 07:03:48,10717603
"13","46335511",2020-06-06 15:34:44,"Trevornoah","This! 🙌🏾  IG: kimberlylatricejones &amp; djonesmedia https://t.co/l8zX4CULEg","Twitter Media Studio",101668,47292,NA,NA,NA,NA,NA,"ht","New York, NY",2009-06-11 07:03:48,10717603
